NO,우선순위,K,lon,lat,id,시,구,도로명주소
235,4,22,127.0169049,37.58936078,2769,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
236,5,22,127.0785766,37.49946173,2768,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
237,6,22,126.9060274,37.57353209,2767,서울특별시,서대문구,서울특별시 서대문구 수색로 123
238,7,22,126.8475203,37.52995871,2766,서울특별시,강서구,서울특별시 강서구 강서로 21
239,8,22,127.129303,37.53658752,2765,서울특별시,강동구,서울특별시 강동구 천호대로 1056
240,9,22,127.0589677,37.56338635,2764,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
241,10,22,126.8270683,37.53885739,2763,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
242,11,22,126.8316682,37.53077141,2762,서울특별시,양천구,서울특별시 양천구 남부순환로 412
243,12,22,126.8374145,37.52088897,2761,서울특별시,양천구,서울특별시 양천구 남부순환로 538
244,13,22,126.8602541,37.49667843,2760,서울특별시,구로구,서울특별시 구로구 경인로 364
245,14,22,126.8608626,37.55797338,2759,서울특별시,강서구,서울특별시 강서구 양천로 556
246,15,22,127.1317174,37.50594889,2758,서울특별시,송파구,서울특별시 송파구 마천로 103
247,16,22,127.032418,37.64440506,2757,서울특별시,도봉구,서울특별시 도봉구 도봉로 430
248,17,22,126.8978669,37.46172322,2756,서울특별시,금천구,서울특별시 금천구 시흥대로 316
249,18,22,126.9022103,37.48427922,2755,서울특별시,구로구,서울특별시 구로구 시흥대로 573
250,19,22,126.8771851,37.50127567,2754,서울특별시,구로구,서울특별시 구로구 경인로 531
251,20,22,127.0413863,37.66066431,2753,서울특별시,도봉구,서울특별시 도봉구 도봉로 627
252,21,22,126.8164618,37.58476484,2752,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
253,22,22,127.0737078,37.55983509,2751,서울특별시,광진구,서울특별시 광진구 동일로 322
254,1,23,127.1034226,37.50766,2750,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
255,2,23,127.0668206,37.57603432,2749,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
256,3,23,127.0356428,37.49028717,2748,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
257,4,23,127.0169049,37.58936078,2747,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
258,5,23,127.0785766,37.49946173,2746,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
259,6,23,126.9060274,37.57353209,2745,서울특별시,서대문구,서울특별시 서대문구 수색로 123
260,7,23,126.8475203,37.52995871,2744,서울특별시,강서구,서울특별시 강서구 강서로 21
261,8,23,127.129303,37.53658752,2743,서울특별시,강동구,서울특별시 강동구 천호대로 1056
262,9,23,127.0589677,37.56338635,2742,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
263,10,23,126.8270683,37.53885739,2741,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
264,11,23,126.8316682,37.53077141,2740,서울특별시,양천구,서울특별시 양천구 남부순환로 412
265,12,23,126.8374145,37.52088897,2739,서울특별시,양천구,서울특별시 양천구 남부순환로 538
266,13,23,126.8602541,37.49667843,2738,서울특별시,구로구,서울특별시 구로구 경인로 364
267,14,23,126.8608626,37.55797338,2737,서울특별시,강서구,서울특별시 강서구 양천로 556
268,15,23,127.1317174,37.50594889,2736,서울특별시,송파구,서울특별시 송파구 마천로 103
269,16,23,127.032418,37.64440506,2735,서울특별시,도봉구,서울특별시 도봉구 도봉로 430
270,17,23,126.8978669,37.46172322,2734,서울특별시,금천구,서울특별시 금천구 시흥대로 316
271,18,23,126.9022103,37.48427922,2733,서울특별시,구로구,서울특별시 구로구 시흥대로 573
272,19,23,126.8771851,37.50127567,2732,서울특별시,구로구,서울특별시 구로구 경인로 531
273,20,23,127.0413863,37.66066431,2731,서울특별시,도봉구,서울특별시 도봉구 도봉로 627
274,21,23,127.075778,37.59409379,2730,서울특별시,중랑구,서울특별시 중랑구 망우로 209
275,22,23,126.8164618,37.58476484,2729,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
276,23,23,127.0737078,37.55983509,2728,서울특별시,광진구,서울특별시 광진구 동일로 322
277,1,24,127.1034226,37.50766,2727,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
278,2,24,127.0668206,37.57603432,2726,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
279,3,24,127.0356428,37.49028717,2725,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
280,4,24,127.0169049,37.58936078,2724,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
