NO,K,lon,lat,id,시,구,도로명주소
196,20,126.9060274,37.57353209,2808,서울특별시,서대문구,서울특별시 서대문구 수색로 123
197,20,126.8475203,37.52995871,2807,서울특별시,강서구,서울특별시 강서구 강서로 21
198,20,127.129303,37.53658752,2806,서울특별시,강동구,서울특별시 강동구 천호대로 1056
199,20,127.0589677,37.56338635,2805,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
200,20,126.8270683,37.53885739,2804,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
201,20,126.8316682,37.53077141,2803,서울특별시,양천구,서울특별시 양천구 남부순환로 412
202,20,126.8374145,37.52088897,2802,서울특별시,양천구,서울특별시 양천구 남부순환로 538
203,20,126.8602541,37.49667843,2801,서울특별시,구로구,서울특별시 구로구 경인로 364
204,20,126.8608626,37.55797338,2800,서울특별시,강서구,서울특별시 강서구 양천로 556
205,20,127.1317174,37.50594889,2799,서울특별시,송파구,서울특별시 송파구 마천로 103
206,20,127.032418,37.64440506,2798,서울특별시,도봉구,서울특별시 도봉구 도봉로 430
207,20,126.9022103,37.48427922,2797,서울특별시,구로구,서울특별시 구로구 시흥대로 573
208,20,126.8771851,37.50127567,2796,서울특별시,구로구,서울특별시 구로구 경인로 531
209,20,126.8164618,37.58476484,2795,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
210,20,127.0737078,37.55983509,2794,서울특별시,광진구,서울특별시 광진구 동일로 322
211,21,127.1034226,37.50766,2793,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
212,21,127.0668206,37.57603432,2792,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
213,21,127.0356428,37.49028717,2791,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
214,21,127.0169049,37.58936078,2790,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
215,21,127.0785766,37.49946173,2789,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
216,21,126.9060274,37.57353209,2788,서울특별시,서대문구,서울특별시 서대문구 수색로 123
217,21,126.8475203,37.52995871,2787,서울특별시,강서구,서울특별시 강서구 강서로 21
218,21,127.129303,37.53658752,2786,서울특별시,강동구,서울특별시 강동구 천호대로 1056
219,21,127.0589677,37.56338635,2785,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
220,21,126.8270683,37.53885739,2784,서울특별시,양천구,서울특별시 양천구 화곡로4길 2
221,21,126.8316682,37.53077141,2783,서울특별시,양천구,서울특별시 양천구 남부순환로 412
222,21,126.8374145,37.52088897,2782,서울특별시,양천구,서울특별시 양천구 남부순환로 538
223,21,126.8602541,37.49667843,2781,서울특별시,구로구,서울특별시 구로구 경인로 364
224,21,126.8608626,37.55797338,2780,서울특별시,강서구,서울특별시 강서구 양천로 556
225,21,127.1317174,37.50594889,2779,서울특별시,송파구,서울특별시 송파구 마천로 103
226,21,127.032418,37.64440506,2778,서울특별시,도봉구,서울특별시 도봉구 도봉로 430
227,21,126.8978669,37.46172322,2777,서울특별시,금천구,서울특별시 금천구 시흥대로 316
228,21,126.9022103,37.48427922,2776,서울특별시,구로구,서울특별시 구로구 시흥대로 573
229,21,126.8771851,37.50127567,2775,서울특별시,구로구,서울특별시 구로구 경인로 531
230,21,126.8164618,37.58476484,2774,서울특별시,강서구,서울특별시 강서구 금낭화로26가길 152-186
231,21,127.0737078,37.55983509,2773,서울특별시,광진구,서울특별시 광진구 동일로 322
232,22,127.1034226,37.50766,2772,서울특별시,송파구,서울특별시 송파구 백제고분로39길 40
233,22,127.0668206,37.57603432,2771,서울특별시,동대문구,서울특별시 동대문구 한천로33길 15
234,22,127.0356428,37.49028717,2770,서울특별시,강남구,서울특별시 강남구 강남대로58길 45
235,22,127.0169049,37.58936078,2769,서울특별시,성북구,서울특별시 성북구 삼선동5가 보문로 168
236,22,127.0785766,37.49946173,2768,서울특별시,강남구,서울특별시 강남구 남부순환로 3183
237,22,126.9060274,37.57353209,2767,서울특별시,서대문구,서울특별시 서대문구 수색로 123
238,22,126.8475203,37.52995871,2766,서울특별시,강서구,서울특별시 강서구 강서로 21
239,22,127.129303,37.53658752,2765,서울특별시,강동구,서울특별시 강동구 천호대로 1056
240,22,127.0589677,37.56338635,2764,서울특별시,동대문구,서울특별시 동대문구 한천로2길 6
