사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,하이브리드(휘발유+전기),하이브리드(경유+전기),하이브리드(LPG+전기),하이브리드(CNG+전기),수소,기타연료
서울특별시 성북구 하월곡동,11604,2385,4219,873,45,2,3684,3,358,5,5,0,2,23
서울특별시 성북구 상월곡동,2577,438,973,267,12,0,818,0,62,1,3,0,1,2
서울특별시 성북구 장위동,14201,2598,5512,1355,48,6,4249,10,389,3,10,0,4,17
서울특별시 성북구 석관동,9761,1692,3795,1027,29,5,2861,84,251,3,2,0,4,8
서울특별시 강북구 미아동,33164,6173,12149,3129,113,9,10578,11,917,4,14,0,8,59
서울특별시 강북구 번동,13173,2162,4691,1897,74,2,3842,223,258,1,6,0,3,14
서울특별시 강북구 수유동,26175,4499,9983,2854,106,9,7818,295,558,5,19,0,5,24
서울특별시 강북구 우이동,3250,590,1203,305,9,0,909,147,83,0,4,0,0,0
서울특별시 도봉구 쌍문동,20725,3657,7499,2342,71,8,6633,15,452,2,15,0,2,29
서울특별시 도봉구 방학동,22848,4106,8242,2813,97,8,6999,11,514,3,8,0,4,43
서울특별시 도봉구 창동,36905,6723,12711,4534,133,12,11639,37,1015,15,23,0,13,50
서울특별시 도봉구 도봉동,15289,2572,5492,2056,52,6,4438,290,331,1,13,8,4,26
서울특별시 노원구 월계동,23820,4314,8168,2843,63,10,7541,145,659,2,20,0,5,50
서울특별시 노원구 공릉동,23619,4287,8169,2741,60,5,7465,68,739,5,15,0,10,55
서울특별시 노원구 하계동,13924,2828,4439,1194,29,2,4888,4,512,2,3,0,4,19
서울특별시 노원구 상계동,60633,11173,19884,7428,248,20,19734,383,1600,5,44,31,9,74
서울특별시 노원구 중계동,30832,6239,10083,2903,88,10,10340,10,1068,10,18,0,5,58
서울특별시 은평구 수색동,3920,815,1269,312,13,0,1195,165,132,4,2,1,5,7
서울특별시 은평구 녹번동,10559,2068,3749,773,65,4,3466,17,392,4,4,0,4,13
서울특별시 은평구 불광동,16935,3542,5712,1395,39,8,5682,2,515,2,12,0,6,20
서울특별시 은평구 갈현동,13190,2620,4644,1201,27,5,4349,0,309,0,9,0,3,23
서울특별시 은평구 구산동,9312,1646,3249,930,23,1,2919,295,223,0,9,0,4,13
서울특별시 은평구 대조동,6096,1267,2166,565,11,0,1935,0,141,1,3,0,2,5
서울특별시 은평구 응암동,22830,4672,7996,1839,78,13,7454,2,715,3,17,0,12,29
서울특별시 은평구 역촌동,12214,2302,4427,1155,32,2,3936,2,330,1,5,0,6,16
서울특별시 은평구 신사동,14476,2435,4830,2485,54,4,4262,8,350,0,12,0,17,19
서울특별시 은평구 증산동,4710,798,1661,704,17,2,1382,2,122,1,4,0,6,11
서울특별시 은평구 진관동,18032,4166,5458,1424,131,7,5764,254,746,4,19,0,16,43
서울특별시 서대문구 충정로2가,504,99,203,25,0,0,164,0,10,0,1,0,1,1
서울특별시 서대문구 충정로3가,1809,312,727,198,4,1,503,6,52,0,2,0,1,3
서울특별시 서대문구 합동,393,130,107,22,9,0,113,0,12,0,0,0,0,0
