 교육청명 , 유치원명 , 설립유형 , 주소 , 운영시간 , 만3세학급수 , 만4세학급수 , 만5세학급수 , 혼합학급수 , 특수학급수 , 만3세유아수 , 만4세유아수 , 만5세유아수 , 혼합유아수 , 특수유아수 , 공시차수 ,입력주소,경도,위도
 서울특별시교육청 , 나사렛유치원 , 사립(법인) , 서울특별시 마포구 매봉산로 24-1 , 09시30분~19시00분 ,2,2,2,0,0,34,52,46,0,0,20211,서울특별시 마포구 매봉산로 24-1 ,126.8903961,37.5743787
 서울특별시교육청 , 우리곰유치원 , 사립(사인) , 서울특별시 강서구 허준로 23 , 08시00분~18시30분 ,1,1,1,0,0,19,25,22,0,0,20211,서울특별시 강서구 허준로 23 ,126.8450823,37.5712771
 서울특별시교육청 , 희산유치원 , 사립(사인) , 서울특별시 노원구 덕릉로 459-18 , 09시00분~20시00분 ,1,1,1,0,0,10,15,24,0,0,20182,서울특별시 노원구 덕릉로 459-18 ,127.0609233,37.6461663
 서울특별시교육청 , 동선유치원 , 사립(법인) , 서울특별시 성북구 보문로 98 , 07시40분~20시00분 ,0,0,1,1,0,0,0,9,11,0,20211,서울특별시 성북구 보문로 98 ,127.0203673,37.5840077
 서울특별시교육청 , 명덕유치원 , 사립(사인) , 서울특별시 성북구 삼양로 74 , 09시00분~18시00분 ,0,1,1,0,0,0,4,7,0,0,20182,서울특별시 성북구 삼양로 74 ,127.0229054,37.6098343
 서울특별시교육청 , 녹원유치원 , 사립(사인) , 서울특별시 강동구 상암로63길 39-10 , 09시00분~18시00분 ,3,1,0,0,0,75,31,0,0,0,20211,서울특별시 강동구 상암로63길 39-10 ,127.153579,37.5485186
 서울특별시교육청 , 서울양목초등학교병설유치원 , 공립(병설) , 서울특별시 양천구 목동로11길 30 , 07시30분~19시30분 ,1,1,2,0,1,15,21,32,0,5,20211,서울특별시 양천구 목동로11길 30 ,126.8616887,37.5236657
 서울특별시교육청 , 세진유치원 , 사립(사인) , 서울특별시 양천구 월정로46길 9 , 09시00분~18시00분 ,1,1,1,0,0,14,19,25,0,0,20192,서울특별시 양천구 월정로46길 9 ,126.832753,37.5409173
 서울특별시교육청 , 신정유치원 , 사립(사인) , 서울특별시 양천구 신정로7길 81-4 , 09시00분~19시00분 ,4,4,3,0,0,66,82,74,0,0,20191,서울특별시 양천구 신정로7길 81-4 ,126.8333713,37.5135682
 서울특별시교육청 , 동천유치원 , 사립(사인) , 서울특별시 영등포구 신길로40길 10 , 09시00분~18시00분 ,1,1,1,0,0,15,18,24,0,0,20211,서울특별시 영등포구 신길로40길 10 ,126.9122574,37.506536
 서울특별시교육청 , 명신유치원 , 사립(법인) , 서울특별시 영등포구 신길로41라길 13-9 , 09시30분~17시30분 ,1,2,2,0,0,16,44,47,0,0,20211,서울특별시 영등포구 신길로41라길 13-9 ,126.9082057,37.5074898
 서울특별시교육청 , 윤경유치원 , 사립(사인) , 서울특별시 중랑구 숙선옹주로 91 , 09시30분~20시00분 ,2,2,2,0,0,36,54,46,0,0,20211,서울특별시 중랑구 숙선옹주로 91 ,127.0847927,37.6162053
 서울특별시교육청 , 한양유치원 , 사립(사인) , 서울특별시 동대문구 답십리로 184 , 09시30분~19시00분 ,1,2,2,0,0,8,30,29,0,0,20192,서울특별시 동대문구 답십리로 184 ,127.0603981,37.5717546
 서울특별시교육청 , 양지유치원 , 사립(사인) , 서울특별시 금천구 독산로108길 37 , 09시00분~22시00분 ,0,1,1,0,0,0,22,17,0,0,20192,서울특별시 금천구 독산로108길 37 ,126.9059872,37.4796901
 서울특별시교육청 , 우성유치원 , 사립(사인) , 서울특별시 영등포구 도신로 68-1 , 07시40분~19시40분 ,2,1,1,0,0,28,21,18,0,0,20211,서울특별시 영등포구 도신로 68-1 ,126.9006193,37.5057435
 서울특별시교육청 , 서울청룡초등학교병설유치원 , 공립(병설) , 서울특별시 관악구 관악로5길 61 , 07시30분~19시30분 ,1,1,1,0,0,7,14,16,0,0,20211,서울특별시 관악구 관악로5길 61 ,126.9512119,37.4757031
