NO,K,lon,lat,시,구,도로명주소,id,
196,20,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,196,2808
197,20,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,197,2807
198,20,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,198,2806
199,20,127.0792574,37.57968469,서울특별시,중랑구,서울특별시 중랑구 동일로 553,199,2805
200,20,127.0222801,37.63444973,서울특별시,강북구,서울특별시 강북구 덕릉로 78,200,2804
201,20,127.0840381,37.53463405,서울특별시,광진구,서울특별시 광진구 자양로 75,201,2803
202,20,126.8978669,37.46172322,서울특별시,금천구,서울특별시 금천구 시흥대로 316,202,2802
203,20,127.032418,37.64440506,서울특별시,도봉구,서울특별시 도봉구 도봉로 430,203,2801
204,20,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,204,2800
205,20,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,205,2799
206,20,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,206,2798
207,20,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,207,2797
208,20,127.0722508,37.61661466,서울특별시,노원구,서울특별시 노원구 화랑로 405,208,2796
209,20,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,209,2795
210,20,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,210,2794
211,21,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,211,2793
212,21,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,212,2792
213,21,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,213,2791
214,21,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,214,2790
215,21,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,215,2789
216,21,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,216,2788
217,21,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,217,2787
218,21,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,218,2786
219,21,127.0792574,37.57968469,서울특별시,중랑구,서울특별시 중랑구 동일로 553,219,2785
220,21,127.0222801,37.63444973,서울특별시,강북구,서울특별시 강북구 덕릉로 78,220,2784
221,21,127.0840381,37.53463405,서울특별시,광진구,서울특별시 광진구 자양로 75,221,2783
222,21,126.8978669,37.46172322,서울특별시,금천구,서울특별시 금천구 시흥대로 316,222,2782
223,21,127.032418,37.64440506,서울특별시,도봉구,서울특별시 도봉구 도봉로 430,223,2781
224,21,127.0785766,37.49946173,서울특별시,강남구,서울특별시 강남구 남부순환로 3183,224,2780
225,21,127.0675304,37.64904569,서울특별시,노원구,서울특별시 노원구 동일로210길 86,225,2779
226,21,127.1034178,37.50856135,서울특별시,송파구,서울특별시 송파구 송파대로 475-2,226,2778
227,21,126.8164535,37.58566613,서울특별시,강서구,서울특별시 강서구 양천로27길 261-40,227,2777
228,21,127.0737078,37.55983509,서울특별시,광진구,서울특별시 광진구 동일로 322,228,2776
229,21,127.0722508,37.61661466,서울특별시,노원구,서울특별시 노원구 화랑로 405,229,2775
230,21,126.8608626,37.55797338,서울특별시,강서구,서울특별시 강서구 양천로 556,230,2774
231,21,127.058973,37.56248502,서울특별시,동대문구,서울특별시 동대문구 천호대로 361,231,2773
232,22,127.0559692,37.68685877,서울특별시,노원구,서울특별시 노원구 동일로 1776,232,2772
233,22,126.9339614,37.47361931,서울특별시,관악구,서울특별시 관악구 신림로 170,233,2771
234,22,126.8475203,37.52995871,서울특별시,강서구,서울특별시 강서구 강서로 21,234,2770
235,22,126.8270683,37.53885739,서울특별시,양천구,서울특별시 양천구 화곡로4길 2,235,2769
236,22,126.9531867,37.47370984,서울특별시,관악구,서울특별시 관악구 관악로 96,236,2768
237,22,126.8602541,37.49667843,서울특별시,구로구,서울특별시 구로구 경인로 364,237,2767
238,22,126.8316682,37.53077141,서울특별시,양천구,서울특별시 양천구 남부순환로 412,238,2766
239,22,126.8374145,37.52088897,서울특별시,양천구,서울특별시 양천구 남부순환로 538,239,2765
240,22,127.0792574,37.57968469,서울특별시,중랑구,서울특별시 중랑구 동일로 553,240,2764
241,22,127.0222801,37.63444973,서울특별시,강북구,서울특별시 강북구 덕릉로 78,241,2763
